country,nuts_2,cases,recovered,deaths,hospitalized,intensive_care,datetime
AT,Tirol,2,,,,,2020-03-04T17:45:00
AT,Salzburg,3,,,,,2020-03-04T17:45:00
AT,Steiermark,4,,,,,2020-03-04T17:45:00
AT,Niederösterreich,5,,,,,2020-03-04T17:45:00
AT,Wien,15,,,,,2020-03-04T17:45:00
AT,Tirol,2,,,,,2020-03-05T08:00:00
AT,Salzburg,3,,,,,2020-03-05T08:00:00
AT,Steiermark,4,,,,,2020-03-05T08:00:00
AT,Niederösterreich,12,,,,,2020-03-05T08:00:00
AT,Wien,16,,,,,2020-03-05T08:00:00
AT,Kärnten,1,,,,,2020-03-05T15:00:00
AT,Tirol,3,,,,,2020-03-05T15:00:00
AT,Steiermark,4,,,,,2020-03-05T15:00:00
AT,Salzburg,4,,,,,2020-03-05T15:00:00
AT,Niederösterreich,13,,,,,2020-03-05T15:00:00
AT,Wien,16,,,,,2020-03-05T15:00:00
AT,Vorarlberg,1,,,,,2020-03-06T08:00:00
AT,Oberösterreich,1,,,,,2020-03-06T08:00:00
AT,Kärnten,1,,,,,2020-03-06T08:00:00
AT,Steiermark,4,,,,,2020-03-06T08:00:00
AT,Tirol,4,,,,,2020-03-06T08:00:00
AT,Salzburg,4,,,,,2020-03-06T08:00:00
AT,Niederösterreich,15,,,,,2020-03-06T08:00:00
AT,Wien,17,,,,,2020-03-06T08:00:00
AT,Vorarlberg,1,,,,,2020-03-06T15:00:00
AT,Oberösterreich,1,,,,,2020-03-06T15:00:00
AT,Kärnten,1,,,,,2020-03-06T15:00:00
AT,Tirol,4,,,,,2020-03-06T15:00:00
AT,Steiermark,5,,,,,2020-03-06T15:00:00
AT,Salzburg,5,,,,,2020-03-06T15:00:00
AT,Niederösterreich,15,,,,,2020-03-06T15:00:00
AT,Wien,23,,,,,2020-03-06T15:00:00
AT,Vorarlberg,1,,,,,2020-03-07T08:00:00
AT,Kärnten,1,,,,,2020-03-07T08:00:00
AT,Oberösterreich,4,,,,,2020-03-07T08:00:00
AT,Burgenland,4,,,,,2020-03-07T08:00:00
AT,Salzburg,5,,,,,2020-03-07T08:00:00
AT,Steiermark,6,,,,,2020-03-07T08:00:00
AT,Tirol,7,,,,,2020-03-07T08:00:00
AT,Wien,23,,,,,2020-03-07T08:00:00
AT,Niederösterreich,23,,,,,2020-03-07T08:00:00
AT,Vorarlberg,1,,,,,2020-03-07T15:00:00
AT,Kärnten,1,,,,,2020-03-07T15:00:00
AT,Oberösterreich,4,,,,,2020-03-07T15:00:00
AT,Burgenland,4,,,,,2020-03-07T15:00:00
AT,Salzburg,5,,,,,2020-03-07T15:00:00
AT,Steiermark,6,,,,,2020-03-07T15:00:00
AT,Tirol,7,,,,,2020-03-07T15:00:00
AT,Niederösterreich,23,,,,,2020-03-07T15:00:00
AT,Wien,28,,,,,2020-03-07T15:00:00
